code,date,name,lon,lat,row,col,cover_rate,comment
1A1260,2021-02-01,name,71.29560446942394,37.863820938362316,0,42,52,comment
1A1285,2021-02-01,name,71.45521255768618,37.614073266006365,0,51,66,comment
1A261123,2021-02-01,name,77.12685582669593,25.141212678792378,0,481,7,comment
1A262380,2021-02-01,name,77.49999750800343,23.909882056195045,0,522,63,comment
1A262397,2021-02-01,name,77.56781133423593,23.79750307026693,1,526,66,comment
1A262406,2021-02-01,name,77.61131962310061,23.646849051610637,1,531,68,comment
1A267182,2021-02-01,name,78.13703030209543,21.711859593932644,1,595,65,comment
1A267262,2021-02-01,name,78.22931054406396,21.347749984018897,1,607,17,comment
1A267607,2021-02-01,name,78.45878471998446,20.40536081495144,1,638,1,comment
1A323517,2021-02-01,name,78.84159592473914,18.696907002969017,1,694,19,comment
1A240653,2021-02-01,name,75.09211918837934,30.845452912433924,2,289,54,comment
1A262151,2021-02-01,name,77.48579597183652,24.197021010212485,2,513,74,comment
1A265894,2021-02-01,name,77.75543121343475,23.26261981940218,2,544,68,comment
1A322573,2021-02-01,name,78.73490786919183,19.344854480767122,2,673,3,comment
1A1011,2021-02-01,name,71.18484822269906,38.23881761972476,3,30,68,comment
1A262133,2021-02-01,name,77.47383825608821,24.355685756633882,3,508,37,comment
1A267251,2021-02-01,name,78.28654091889278,21.392378370564934,3,606,9,comment
1A267513,2021-02-01,name,78.40666129073085,20.90598536520062,3,622,23,comment
1A1402,2021-02-01,name,71.68284303187895,37.53082769239625,4,56,62,comment
1A241541,2021-02-01,name,75.43221444104816,30.222863232589766,4,311,76,comment
1A241887,2021-02-01,name,75.67226642889376,29.63520759531145,4,331,61,comment
1A261136,2021-02-01,name,77.24925356384337,25.205432315063035,4,480,54,comment
1A1316,2021-02-01,name,71.68278372629028,37.6702182450407,6,52,70,comment
1A245698,2021-02-01,name,76.31987426797053,28.14823438690858,6,382,62,comment
1A322583,2021-02-01,name,78.86369147568725,19.370421274651417,6,673,23,comment
1A14996,2021-02-01,name,71.94424746624112,37.32105672757742,7,65,64,comment
1A261070,2021-02-01,name,77.32003312590331,25.321186500877396,7,477,65,comment
1A14890,2021-02-01,name,72.09948732628871,37.13872056721916,8,72,48,comment
1A242064,2021-02-01,name,76.00532979798085,29.17475771766399,8,348,77,comment
1A1511,2021-02-01,name,71.75291686837929,37.76791751288079,9,50,65,comment
1A241517,2021-02-01,name,75.54034760135607,30.42262524895589,9,306,30,comment
1A262635,2021-02-01,name,77.8475499897509,23.801245345960748,9,528,16,comment
1A1201,2021-02-01,name,71.7351477023094,37.865606520833346,10,47,59,comment
1A1500,2021-02-01,name,71.82324027847255,37.72605057445953,10,52,61,comment
1A245346,2021-02-01,name,76.14140062133417,29.01742647210024,10,354,76,comment
1A245996,2021-02-01,name,76.47571031082568,28.12755839774108,10,384,4,comment
